"NBA_ID","SS_ID"
202693,"ff41cb11-89ef-11e6-8285-a45e60e298d3"
202694,"ff429d26-89ef-11e6-a6f3-a45e60e298d3"
202703,"ff429e85-89ef-11e6-a63b-a45e60e298d3"
202709,"ff417dc5-89ef-11e6-b58d-a45e60e298d3"
202710,"ff41f5c7-89ef-11e6-8f93-a45e60e298d3"
202711,"ff42b023-89ef-11e6-b4a8-a45e60e298d3"
202721,"ff41c52e-89ef-11e6-8150-a45e60e298d3"
202722,"ff42a38f-89ef-11e6-bb57-a45e60e298d3"
202732,"ff41118a-89ef-11e6-a986-a45e60e298d3"
202734,"ff41d62e-89ef-11e6-9f3d-a45e60e298d3"
203076,"ff41df59-89ef-11e6-810a-a45e60e298d3"
203078,"ff42a3fd-89ef-11e6-a6b5-a45e60e298d3"
203081,"ff42baa6-89ef-11e6-8e45-a45e60e298d3"
203086,"ff416f5c-89ef-11e6-9530-a45e60e298d3"
203089,"ff429917-89ef-11e6-97c2-a45e60e298d3"
203090,"ff419068-89ef-11e6-bc37-a45e60e298d3"
203092,"ff4287f3-89ef-11e6-ad05-a45e60e298d3"
203107,"1d1ae977-4173-4baf-b60b-ec34a54c59e8"
203109,"ff4213a6-89ef-11e6-89ce-a45e60e298d3"
203110,"ff41a38c-89ef-11e6-b14d-a45e60e298d3"
203114,"ff413d99-89ef-11e6-83e1-a45e60e298d3"
203118,"ff4161eb-89ef-11e6-a423-a45e60e298d3"
203121,"ff412678-89ef-11e6-9f60-a45e60e298d3"
203159,"ff4182c7-89ef-11e6-ac4a-a45e60e298d3"
203199,"ff41fc4a-89ef-11e6-8d75-a45e60e298d3"
203382,"ff413e73-89ef-11e6-a5df-a45e60e298d3"
203464,"ddeddecf-59b1-4aca-adb1-f159262d1584"
203468,"ff41a697-89ef-11e6-8d85-a45e60e298d3"
203476,"ff42d4e6-89ef-11e6-b14e-a45e60e298d3"
203480,"ff41f999-89ef-11e6-89f8-a45e60e298d3"
203482,"ff426326-89ef-11e6-a607-a45e60e298d3"
203485,"ff421933-89ef-11e6-82b5-a45e60e298d3"
203490,"ff420a7a-89ef-11e6-972c-a45e60e298d3"
203496,"ff416430-89ef-11e6-88da-a45e60e298d3"
203497,"ff42a142-89ef-11e6-8c3b-a45e60e298d3"
203498,"ff414235-89ef-11e6-8ede-a45e60e298d3"
203499,"ff422b21-89ef-11e6-aab9-a45e60e298d3"
203500,"ff420623-89ef-11e6-9b37-a45e60e298d3"
203503,"ff419482-89ef-11e6-b3bb-a45e60e298d3"
203506,"ff415fa8-89ef-11e6-bc85-a45e60e298d3"
203507,"ff423b75-89ef-11e6-a507-a45e60e298d3"
203512,"ff4147e8-89ef-11e6-a064-a45e60e298d3"
203518,"7213872a-6dc1-44dc-ae67-e919a3723a92"
203521,"ff423e8c-89ef-11e6-8429-a45e60e298d3"
203524,"ff4029c7-89ef-11e6-b1ae-a45e60e298d3"
203526,"ff4153c7-89ef-11e6-8027-a45e60e298d3"
203530,"ff41dce3-89ef-11e6-87b6-a45e60e298d3"
203546,"ff41caa6-89ef-11e6-abac-a45e60e298d3"
203585,"e6070fc7-c70b-44a8-9b70-03bd108ec526"
203687,"1c862927-4c38-43b7-8758-7c9bfec334f0"
203705,"2cc0eada-212f-4c12-bb6d-b075f491b125"
203894,"ff42aab5-89ef-11e6-81d0-a45e60e298d3"
203903,"ff415094-89ef-11e6-b2e5-a45e60e298d3"
203909,"ff42a5d4-89ef-11e6-aa7c-a45e60e298d3"
203910,"ff420b07-89ef-11e6-9678-a45e60e298d3"
203918,"ff418045-89ef-11e6-9970-a45e60e298d3"
203921,"ff41accf-89ef-11e6-b26a-a45e60e298d3"
203922,"ff420599-89ef-11e6-993f-a45e60e298d3"
203924,"ff41d0d1-89ef-11e6-aad4-a45e60e298d3"
203928,"ff41da78-89ef-11e6-bc03-a45e60e298d3"
203935,"ff411907-89ef-11e6-9c68-a45e60e298d3"
203937,"ff42ce05-89ef-11e6-b640-a45e60e298d3"
203952,"ff4187ba-89ef-11e6-9d60-a45e60e298d3"
203953,"ff428c78-89ef-11e6-a777-a45e60e298d3"
203954,"ff42281e-89ef-11e6-8097-a45e60e298d3"
203957,"ff419c7a-89ef-11e6-b77b-a45e60e298d3"
203960,"ff42a55c-89ef-11e6-be00-a45e60e298d3"
203962,"ff4188f0-89ef-11e6-b0c5-a45e60e298d3"
203966,"aa9a59de-738f-41dd-8515-089eb96535f9"
203967,"2012cb09-52c9-4f61-a273-f1b86a12b9ef"
203991,"ff414a2b-89ef-11e6-a46a-a45e60e298d3"
